                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93381,                 1.6556,                 4.1163,                 1.0064,                0.73493,                0.31019,                0.23738,                0.19714,                0.73726,                0.31548,                0.23876,                0.17595,                0.51851,                 1.2081,                 2.4808,                0.86127,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                0.65902,                 1.1217,                 2.2948,                0.87199,                0.58693,                0.55026,                0.32924,                0.27691,                0.58693,                0.55026,                 0.3221,                 0.2265,                0.53598,                 0.9042,                 2.4881,                0.82539,             0.00018393,             0.00018393,             0.00018393
                      3,                0.56497,                0.90697,                 1.5329,                0.86214,                0.34524,                0.65917,                0.37851,                0.33086,                0.39721,                0.71252,                0.41971,                0.27379,                0.50368,                0.86567,                 3.2994,                0.84072,             0.00028014,             0.00028014,             0.00028014
                      4,                0.52817,                0.71275,                 1.2401,                0.83863,                0.31832,                0.45943,                0.31408,                0.26385,                0.31149,                0.46737,                0.31055,                0.21065,                0.64195,                 0.9333,                 4.5977,                 0.8535,             0.00037437,             0.00037437,             0.00037437
                      5,                0.53165,                0.74564,                 1.1517,                0.82953,                0.44775,                0.61747,                0.53289,                0.44563,                 0.4235,                0.63878,                0.53159,                0.37146,                0.55437,                0.96341,                 7.8838,                0.83909,             0.00046662,             0.00046662,             0.00046662
                      6,                0.55148,                 1.1227,                 1.1105,                0.84935,                0.65061,                0.72386,                 0.7427,                0.63518,                0.61697,                0.72068,                0.68733,                0.45288,                0.62432,                 1.4209,                 1.5353,                0.85516,             0.00055689,             0.00055689,             0.00055689
                      7,                0.55612,                0.87332,                 1.1366,                0.85015,                0.21916,                0.66802,                0.39949,                0.34449,                0.23264,                0.54409,                0.39308,                0.28046,                0.62601,                 1.8115,                 2.8098,                0.86179,             0.00064518,             0.00064518,             0.00064518
                      8,                0.56084,                0.74105,                0.94956,                0.85953,                0.39687,                0.72902,                0.51736,                0.46817,                0.39693,                0.72286,                0.51634,                0.37604,                 0.5036,                0.95318,                    inf,                0.84094,             0.00073148,             0.00073148,             0.00073148
                      9,                0.52824,                0.68058,                 0.8483,                0.86316,                0.51631,                 0.5172,                0.60492,                0.52088,                0.51631,                 0.5172,                0.60075,                 0.4335,                0.59618,                 1.3549,                 5.0519,                0.86258,             0.00081581,             0.00081581,             0.00081581
                     10,                 0.6049,                0.75496,                0.91717,                0.84118,                0.56941,                0.77089,                0.73679,                0.61585,                0.56941,                0.77089,                0.73592,                0.53712,                0.59652,                 1.5527,                 1.8113,                0.87475,             0.00089816,             0.00089816,             0.00089816
                     11,                0.62435,                0.74487,                0.98669,                0.84269,                0.64112,                0.80033,                0.77608,                0.64783,                0.64112,                0.80033,                0.78282,                0.53076,                0.68338,                 1.1562,                 1.2088,                0.87739,             0.00097852,             0.00097852,             0.00097852
                     12,                0.59503,                0.76738,                 1.0816,                0.85649,                0.60998,                0.83543,                0.72339,                0.58249,                0.60739,                0.82947,                0.72003,                0.51993,                0.57653,                 1.1937,                 1.4429,                 0.8557,              0.0010569,              0.0010569,              0.0010569
