                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97991,                 1.9914,                 4.5641,                 1.0174,                0.14507,                0.27533,                0.12212,                0.10186,                0.14507,                0.27533,                0.12209,                0.08744,                 0.5836,                 1.3152,                 3.3376,                0.86646,             0.00011432,             0.00011432,             0.00011432
                      2,                0.61636,                0.92752,                 2.3604,                0.85241,                0.45084,                0.78131,                0.49317,                0.42487,                0.43262,                0.77127,                 0.4774,                0.33207,                0.56813,                0.92044,                 2.4849,                0.84334,             0.00024052,             0.00024052,             0.00024052
                      3,                0.54615,                0.88467,                 1.8708,                0.85516,                0.18102,                0.80895,                0.25226,                0.21528,                 0.1802,                0.79828,                0.25051,                0.15394,                0.61341,                 1.2032,                 4.1681,                0.85935,             0.00036418,             0.00036418,             0.00036418
                      4,                0.54532,                0.77271,                  1.467,                0.84133,                0.71949,                0.81278,                0.81434,                0.69809,                0.70736,                0.80821,                0.80683,                0.55991,                0.56912,                 1.1699,                   1.15,                0.86674,              0.0004853,              0.0004853,              0.0004853
                      5,                0.60378,                 0.8875,                  1.569,                 0.8674,                0.72512,                0.54915,                0.76542,                0.64844,                0.71334,                0.53439,                0.72858,                0.51409,                0.60755,                 1.2697,                 2.0513,                  0.876,             0.00060386,             0.00060386,             0.00060386
                      6,                0.61988,                0.76625,                 1.4494,                0.85831,                 0.5354,                  0.875,                0.84479,                0.71065,                 0.5354,                  0.875,                0.84224,                0.60784,                0.60815,                 1.1935,                 1.6431,                0.86364,             0.00071988,             0.00071988,             0.00071988
                      7,                0.63332,                 0.9413,                 1.3936,                0.88268,                0.60914,                0.75384,                0.75807,                0.65148,                0.60894,                0.75444,                0.74847,                0.55414,                0.56436,                 1.1426,                 1.0275,                0.86323,             0.00083335,             0.00083335,             0.00083335
                      8,                0.62858,                0.92018,                 1.4678,                0.87668,                0.50048,                 0.8191,                0.72545,                0.59572,                0.49039,                0.80189,                0.70968,                0.52544,                0.60566,                  1.117,                 1.1084,                0.92027,             0.00094428,             0.00094428,             0.00094428
                      9,                0.67077,                0.90828,                 1.3308,                0.88918,                0.50994,                0.79497,                0.63769,                 0.5469,                0.49034,                0.79023,                0.62494,                0.43146,                 0.6374,                 1.1505,                 2.1458,                0.88791,              0.0010527,              0.0010527,              0.0010527
                     10,                0.62778,                0.80275,                 1.3579,                0.87236,                0.55927,                0.83649,                0.76916,                0.64805,                0.54912,                0.82495,                0.76375,                 0.5238,                0.60277,                 1.2021,                 1.8967,                0.87623,              0.0011585,              0.0011585,              0.0011585
                     11,                0.61433,                0.72859,                 1.1908,                0.86847,                0.77882,                0.70163,                0.82532,                0.66698,                0.74786,                0.69083,                0.80168,                0.58524,                0.68931,                 1.0774,                 1.1025,                0.89097,              0.0012618,              0.0012618,              0.0012618
