                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                0.60506,                  0.734,                 1.1894,                0.85562,                0.46336,                0.86622,                0.72144,                0.59513,                0.49186,                0.82022,                0.70284,                0.56333,                0.67509,                 1.6121,                 1.5882,                0.90583,              0.0012734,              0.0012734,              0.0012734
                     13,                0.62209,                0.73409,                 1.5559,                0.85816,                0.47912,                0.80226,                0.71822,                0.60357,                0.56818,                0.68674,                0.71074,                0.53663,                0.62813,                0.88737,                 1.2422,                0.88592,              0.0012734,              0.0012734,              0.0012734
                     14,                0.60402,                 0.8145,                 1.2966,                0.90249,                0.51878,                0.79673,                0.68874,                0.57831,                0.50269,                0.78704,                0.67457,                0.52557,                0.62216,                0.96368,                  1.566,                 0.8834,              0.0012592,              0.0012592,              0.0012592
                     15,                0.60041,                0.88484,                 1.2401,                0.87801,                0.58773,                0.69073,                0.71996,                0.60551,                0.58849,                0.66457,                0.69551,                0.53824,                0.57625,                0.86244,                 1.0791,                0.86897,              0.0012451,              0.0012451,              0.0012451
                     16,                0.59622,                0.80009,                 1.1405,                0.86065,                0.59646,                0.66218,                0.75839,                0.64965,                0.55396,                0.71065,                0.74947,                0.56981,                0.59375,                0.99264,                  1.142,                0.89726,              0.0012309,              0.0012309,              0.0012309
                     17,                0.60201,                 0.7484,                 1.0748,                0.87925,                0.53303,                0.82756,                0.82561,                0.69018,                0.52914,                0.82205,                0.81696,                0.57184,                0.58012,                0.89882,                 1.1567,                0.88605,              0.0012168,              0.0012168,              0.0012168
                     18,                0.60627,                0.78536,                 1.1879,                0.88352,                0.81949,                0.69422,                0.83475,                0.72733,                0.81792,                0.70647,                0.84102,                0.63858,                0.52916,                0.64543,                0.94189,                0.85766,              0.0012026,              0.0012026,              0.0012026
                     19,                0.57748,                0.71686,                0.98715,                0.86847,                0.82031,                0.69753,                0.82059,                0.70274,                0.82419,                0.69727,                0.82641,                0.61945,                 0.6014,                 1.0522,                 1.0156,                0.87644,              0.0011885,              0.0011885,              0.0011885
                     20,                0.62285,                0.73597,                 1.0415,                0.86768,                0.68831,                 0.7305,                0.79716,                0.69661,                0.69224,                0.73645,                0.79999,                0.60039,                0.54527,                 1.0915,                0.92949,                0.87241,              0.0011744,              0.0011744,              0.0011744
                     21,                0.55815,                0.69726,                0.93804,                0.86521,                0.61038,                0.80732,                0.76249,                0.66075,                0.61513,                0.81327,                0.76605,                0.54127,                 0.5069,                0.75383,                 1.0588,                0.85069,              0.0011602,              0.0011602,              0.0011602
                     22,                0.57282,                0.74772,                 1.0459,                0.86215,                0.77913,                0.66512,                0.72619,                0.61675,                0.77507,                0.65917,                0.72191,                0.54586,                0.53721,                 0.7532,                 0.9831,                0.86082,              0.0011461,              0.0011461,              0.0011461
                     23,                0.55945,                0.71266,                 1.0126,                0.87413,                0.82558,                0.73602,                0.84821,                0.72694,                0.82558,                0.73602,                0.84755,                0.59583,                0.55407,                0.81036,                0.79034,                0.85874,              0.0011319,              0.0011319,              0.0011319
                     24,                0.53206,                 0.6421,                 0.8704,                0.85887,                0.82786,                0.76205,                0.85695,                0.74994,                0.82786,                0.76205,                 0.8609,                0.62584,                 0.5646,                0.73782,                 1.0058,                0.86353,              0.0011178,              0.0011178,              0.0011178
                     25,                0.55003,                0.70576,                0.98849,                0.85981,                0.78693,                0.79105,                0.85877,                0.76533,                0.78693,                0.79105,                0.85301,                0.62004,                0.46611,                0.82769,                0.84158,                0.84549,              0.0011036,              0.0011036,              0.0011036
                     26,                0.50215,                0.60011,                0.81907,                0.84655,                0.80122,                0.79508,                0.86488,                0.75052,                0.80122,                0.79508,                0.85761,                0.63655,                0.52659,                0.77914,                0.80614,                0.85796,              0.0010895,              0.0010895,              0.0010895
                     27,                0.55174,                0.56938,                0.93998,                0.86641,                0.69706,                0.80511,                0.79387,                0.69651,                0.69706,                0.80511,                0.79511,                0.60501,                 0.5225,                0.77627,                0.88218,                0.84912,              0.0010753,              0.0010753,              0.0010753
                     28,                0.56121,                0.66099,                0.94642,                0.85134,                0.70816,                0.77533,                0.85313,                0.75658,                0.71693,                0.78723,                0.85988,                0.63513,                 0.5063,                0.82185,                0.83877,                0.85508,              0.0010612,              0.0010612,              0.0010612
                     29,                0.52233,                0.60936,                0.87343,                0.83951,                0.81674,                0.86379,                0.90124,                0.78981,                0.81674,                0.86379,                0.90528,                0.67102,                 0.5076,                0.71172,                0.69238,                0.85442,               0.001047,               0.001047,               0.001047
                     30,                0.51897,                0.69754,                0.89095,                0.83392,                0.83001,                0.88528,                 0.8766,                0.77382,                0.81957,                0.88253,                0.87573,                0.65892,                0.49283,                0.72876,                0.71244,                0.85404,              0.0010329,              0.0010329,              0.0010329
                     31,                0.51971,                0.63708,                0.84051,                0.86166,                0.71435,                0.87829,                0.89643,                0.77357,                0.70867,                0.87348,                0.88572,                0.63241,                0.51525,                0.80699,                0.78967,                 0.8642,              0.0010187,              0.0010187,              0.0010187
                     32,                0.53545,                 0.7556,                0.85429,                0.84061,                0.71542,                0.85883,                0.83473,                0.72391,                0.71044,                0.85287,                0.82905,                0.59705,                0.57433,                0.67108,                0.78868,                0.86785,              0.0010046,              0.0010046,              0.0010046
                     33,                0.52462,                 0.6491,                0.79666,                0.86994,                0.77686,                0.83293,                0.88313,                0.77682,                 0.7712,                 0.8351,                0.86492,                0.61699,                0.48298,                0.64378,                0.74585,                  0.839,             0.00099044,             0.00099044,             0.00099044
                     34,                0.48861,                0.60832,                 0.7248,                0.83632,                0.83252,                0.80573,                0.90273,                0.81437,                0.82565,                0.80001,                0.89179,                0.63695,                0.45283,                0.64408,                0.76414,                0.83879,             0.00097629,             0.00097629,             0.00097629
                     35,                0.51104,                0.63912,                0.74146,                0.84556,                0.75607,                0.80666,                0.85384,                0.77254,                0.74784,                0.80079,                0.84208,                0.60009,                0.46898,                 0.7109,                 0.8317,                0.84141,             0.00096215,             0.00096215,             0.00096215
                     36,                0.51495,                0.71371,                0.72373,                 0.8475,                 0.8284,                0.86277,                0.89154,                 0.8025,                0.82372,                0.85189,                0.87505,                0.63986,                0.45997,                0.72234,                 0.6452,                  0.837,               0.000948,               0.000948,               0.000948
                     37,                0.48143,                0.59446,                0.75986,                0.84657,                0.69704,                0.90631,                0.88627,                0.79502,                0.68476,                0.88845,                0.86543,                0.60905,                0.48904,                 0.8144,                0.73854,                0.84221,             0.00093385,             0.00093385,             0.00093385
                     38,                0.48515,                 0.6079,                0.78345,                0.83961,                0.75979,                 0.8404,                0.88351,                0.80843,                0.74589,                0.82598,                0.87229,                0.64191,                 0.4531,                 0.6759,                 0.6858,                0.84186,              0.0009197,              0.0009197,              0.0009197
                     39,                0.49167,                0.64205,                0.74057,                0.82731,                 0.7908,                0.87308,                0.89484,                0.80216,                0.78309,                0.86018,                0.89152,                0.65568,                0.48012,                0.73417,                0.66319,                0.84339,             0.00090556,             0.00090556,             0.00090556
                     40,                0.50603,                0.67958,                0.76975,                0.84553,                0.70057,                0.76213,                0.80426,                0.71416,                0.67335,                0.75973,                0.79513,                0.63055,                0.47252,                0.78739,                0.83184,                0.83749,             0.00089141,             0.00089141,             0.00089141
                     41,                0.48993,                0.64268,                0.74776,                 0.8289,                0.70887,                0.80798,                0.84618,                0.76393,                0.68552,                0.79012,                0.82807,                0.62563,                0.43267,                0.84617,                0.76623,                0.82748,             0.00087726,             0.00087726,             0.00087726
                     42,                0.46506,                0.56999,                0.66437,                 0.8355,                0.71863,                 0.8901,                0.88305,                0.79326,                0.70589,                0.87831,                0.87632,                0.65875,                0.45757,                0.77241,                 0.7913,                0.83771,             0.00086312,             0.00086312,             0.00086312
                     43,                0.46481,                0.55855,                0.70116,                0.82938,                0.74495,                0.87691,                0.88335,                0.79586,                0.76001,                0.86985,                0.88607,                0.67475,                0.42381,                0.70002,                0.77445,                0.83334,             0.00084897,             0.00084897,             0.00084897
                     44,                0.48892,                0.56297,                0.73061,                0.81767,                0.76063,                0.88982,                0.90125,                0.80431,                0.76782,                0.89572,                0.91016,                0.66573,                 0.4548,                0.73194,                0.71506,                0.84018,             0.00083482,             0.00083482,             0.00083482
                     45,                0.49956,                0.61346,                0.70333,                0.84418,                0.67502,                0.80122,                0.84783,                0.75563,                0.68753,                0.79471,                0.84463,                0.64399,                0.45788,                0.71607,                 1.1023,                0.84338,             0.00082067,             0.00082067,             0.00082067
                     46,                0.45826,                0.62264,                0.74186,                0.83723,                0.69125,                0.84389,                0.83903,                 0.7568,                0.69512,                0.83908,                0.83072,                0.58826,                0.44289,                0.73022,                 1.0271,                0.85204,             0.00080653,             0.00080653,             0.00080653
                     47,                0.44913,                0.57793,                0.63282,                0.81889,                0.76818,                0.75431,                0.85175,                0.76276,                0.76818,                0.75431,                0.84173,                0.61551,                0.46731,                 0.7281,                0.83982,                0.85355,             0.00079238,             0.00079238,             0.00079238
                     48,                0.46222,                0.67271,                0.67659,                0.81604,                 0.6468,                 0.8329,                0.86218,                0.78316,                0.64089,                0.83521,                0.85657,                0.61174,                0.42493,                0.69141,                0.99033,                0.83958,             0.00077823,             0.00077823,             0.00077823
                     49,                 0.4842,                0.63922,                0.70665,                0.85067,                0.78852,                0.82545,                0.87066,                0.79384,                0.77376,                0.81355,                0.86116,                0.64701,                0.41491,                0.70499,                0.74168,                0.83601,             0.00076409,             0.00076409,             0.00076409
                     50,                0.46381,                0.60134,                0.72433,                0.84006,                0.79987,                0.83968,                0.89701,                0.82719,                0.78975,                0.82471,                0.88633,                0.66361,                 0.4073,                0.72506,                0.71418,                0.83125,             0.00074994,             0.00074994,             0.00074994
                     51,                0.45022,                0.60381,                0.68078,                0.81652,                 0.8798,                0.89766,                0.91749,                0.84316,                0.87366,                0.89171,                 0.9201,                0.69074,                0.42238,                0.68955,                0.55821,                0.83703,             0.00073579,             0.00073579,             0.00073579
                     52,                0.48326,                0.58113,                0.66931,                0.85639,                0.79399,                0.86197,                0.90445,                0.83077,                0.78813,                0.85602,                0.90034,                0.67192,                0.41563,                0.67959,                0.66513,                0.83851,             0.00072164,             0.00072164,             0.00072164
                     53,                0.45281,                0.63338,                0.63213,                0.83572,                0.89845,                0.87596,                 0.9113,                0.82881,                0.89108,                0.87001,                0.90832,                0.68862,                0.40424,                0.67488,                0.60804,                0.83709,              0.0007075,              0.0007075,              0.0007075
                     54,                0.42618,                0.59967,                0.59822,                0.83429,                0.81076,                0.85734,                0.88179,                0.80879,                0.80677,                 0.8489,                0.87157,                0.64747,                0.39821,                0.68734,                0.71099,                0.83508,             0.00069335,             0.00069335,             0.00069335
                     55,                0.41384,                0.54194,                0.54071,                 0.8257,                0.75871,                0.78894,                0.87914,                 0.8094,                0.74615,                0.77744,                0.86516,                0.62676,                0.38625,                0.79878,                0.79217,                0.82941,              0.0006792,              0.0006792,              0.0006792
                     56,                0.43591,                0.55729,                0.62648,                0.83332,                 0.8735,                0.75317,                0.86901,                 0.7839,                  0.745,                 0.8578,                0.86324,                0.62667,                0.45413,                0.88636,                0.73784,                0.83241,             0.00066506,             0.00066506,             0.00066506
                     57,                 0.4165,                0.50883,                0.59802,                0.82182,                 0.7371,                0.85934,                0.88312,                0.80326,                0.73034,                0.85339,                0.88029,                0.65463,                0.40886,                 0.9317,                0.73835,                0.82879,             0.00065091,             0.00065091,             0.00065091
                     58,                0.42383,                0.52381,                0.60705,                0.81531,                0.70215,                0.78739,                0.82116,                0.75321,                0.69553,                0.78154,                0.81844,                0.63778,                 0.4044,                0.97308,                 1.0514,                0.83035,             0.00063676,             0.00063676,             0.00063676
                     59,                0.42645,                 0.5681,                0.53726,                0.81262,                0.72609,                0.77925,                0.82577,                0.74752,                0.71936,                 0.7733,                0.82336,                0.60588,                0.41225,                0.90749,                0.93098,                 0.8311,             0.00062262,             0.00062262,             0.00062262
                     60,                0.42631,                0.56866,                0.61169,                0.84506,                0.64225,                0.82851,                0.86545,                0.79936,                0.63705,                0.82188,                0.85939,                0.65107,                0.37674,                0.97915,                0.98523,                0.82489,             0.00060847,             0.00060847,             0.00060847
                     61,                0.42201,                0.58287,                0.60229,                 0.8163,                0.73413,                0.78797,                 0.8721,                0.81025,                0.72789,                0.78201,                0.86573,                0.63575,                0.38263,                0.95798,                0.95549,                0.82719,             0.00059432,             0.00059432,             0.00059432
                     62,                0.44477,                0.61396,                 0.5795,                0.81592,                0.86403,                0.78465,                0.87254,                0.79322,                0.85721,                 0.7787,                0.87713,                0.61857,                0.45419,                0.67998,                0.74799,                0.83101,             0.00058017,             0.00058017,             0.00058017
                     63,                0.40904,                0.60823,                0.55117,                0.81935,                0.83563,                0.77173,                0.86511,                0.80104,                0.82861,                0.76589,                0.87093,                0.66355,                0.40012,                0.65575,                0.72373,                0.83008,             0.00056603,             0.00056603,             0.00056603
                     64,                0.40446,                0.51914,                0.52282,                0.81403,                0.83387,                0.72288,                0.85029,                0.76858,                0.82631,                0.71693,                0.85263,                0.61616,                0.44684,                0.68974,                0.80903,                0.83236,             0.00055188,             0.00055188,             0.00055188
                     65,                 0.4198,                 0.5755,                0.55767,                0.82067,                0.82092,                0.73396,                0.85227,                0.77517,                0.86887,                0.68294,                0.85476,                0.60974,                0.44788,                0.71872,                0.79574,                0.83362,             0.00053773,             0.00053773,             0.00053773
                     66,                0.41005,                0.54644,                 0.5404,                0.81774,                0.84863,                0.84524,                 0.8746,                0.80628,                0.83583,                0.83583,                0.87129,                0.64811,                0.38237,                0.68453,                0.65549,                0.82324,             0.00052359,             0.00052359,             0.00052359
                     67,                0.40322,                0.55604,                0.53954,                0.81462,                0.86062,                0.87652,                 0.8943,                0.82035,                0.85672,                0.86442,                0.88821,                0.65505,                0.41108,                0.67189,                0.62687,                0.82517,             0.00050944,             0.00050944,             0.00050944
                     68,                0.40914,                0.54739,                0.51676,                0.80686,                0.77475,                0.86724,                0.86998,                0.80216,                0.82321,                0.78704,                0.86445,                0.63851,                0.39258,                0.71131,                0.71127,                0.81938,             0.00049529,             0.00049529,             0.00049529
                     69,                0.41197,                0.59996,                 0.5075,                0.81485,                0.75384,                0.78349,                0.88393,                0.82286,                 0.8736,                0.67492,                 0.8759,                0.66649,                0.38565,                0.74601,                0.77528,                0.82196,             0.00048114,             0.00048114,             0.00048114
                     70,                0.40821,                0.53165,                0.51129,                0.81447,                0.82295,                0.74218,                0.89199,                0.82576,                0.84993,                0.71619,                0.88309,                0.68059,                0.37955,                0.73367,                0.72964,                0.82043,               0.000467,               0.000467,               0.000467
                     71,                0.39287,                0.50901,                 0.4746,                0.80156,                0.86191,                0.89642,                0.91025,                0.83766,                0.84171,                0.87856,                0.89432,                0.67755,                0.38001,                0.79779,                0.63332,                0.82267,             0.00045285,             0.00045285,             0.00045285
                     72,                0.40541,                0.57163,                0.53147,                0.80688,                0.86168,                0.84602,                0.91461,                0.84182,                0.84654,                0.83436,                0.90119,                0.66283,                 0.3877,                0.82443,                0.65262,                0.82257,              0.0004387,              0.0004387,              0.0004387
                     73,                0.36566,                0.50832,                0.45681,                0.79943,                0.88913,                0.87072,                0.92906,                0.85916,                0.87724,                0.85891,                0.91712,                 0.6932,                0.39099,                0.80432,                0.55528,                0.82473,             0.00042456,             0.00042456,             0.00042456
                     74,                0.37634,                0.52274,                0.49549,                0.80558,                 0.8861,                0.90653,                0.92641,                0.86417,                0.87288,                0.89462,                0.91412,                0.69436,                0.35647,                0.83825,                0.53834,                0.82184,             0.00041041,             0.00041041,             0.00041041
                     75,                0.38969,                0.55899,                0.49201,                0.80977,                0.86816,                0.87676,                0.91933,                0.85065,                0.85309,                0.86486,                0.90233,                0.67311,                0.36515,                0.84659,                 0.5637,                0.82338,             0.00039626,             0.00039626,             0.00039626
                     76,                 0.3835,                0.49021,                0.47201,                0.81069,                0.82185,                0.90177,                0.91001,                0.83482,                0.80898,                0.88849,                0.89599,                0.66657,                0.40022,                0.90309,                0.66452,                0.83203,             0.00038211,             0.00038211,             0.00038211
                     77,                0.38774,                0.53655,                0.46627,                0.80468,                0.83348,                0.90341,                0.92134,                0.85957,                0.82316,                0.89041,                0.90975,                0.69208,                 0.3747,                0.89615,                0.58292,                0.83197,             0.00036797,             0.00036797,             0.00036797
                     78,                0.36608,                 0.4829,                0.46803,                0.81202,                0.84267,                 0.9134,                0.91633,                0.84878,                0.83089,                0.90149,                0.90972,                0.67897,                0.36842,                0.84918,                0.58002,                0.83052,             0.00035382,             0.00035382,             0.00035382
                     79,                0.37206,                 0.4793,                0.44245,                0.80371,                0.79296,                0.91358,                0.89179,                0.82883,                0.78083,                0.90168,                0.88384,                0.67464,                0.37621,                0.82765,                0.66165,                0.83001,             0.00033967,             0.00033967,             0.00033967
                     80,                0.36848,                0.51908,                0.46441,                0.80209,                0.79507,                0.89179,                0.87659,                0.80972,                0.78193,                0.87998,                0.87015,                0.65044,                 0.3901,                0.79549,                0.64916,                0.82936,             0.00032553,             0.00032553,             0.00032553
                     81,                0.35692,                0.46313,                0.43435,                0.80121,                0.82831,                0.85432,                0.87863,                0.81458,                0.81447,                0.84247,                0.87066,                0.65851,                0.38992,                 0.7764,                 0.6333,                0.83136,             0.00031138,             0.00031138,             0.00031138
                     82,                 0.3646,                0.51605,                0.43336,                0.81254,                0.82791,                0.81651,                 0.8831,                0.80803,                0.81469,                0.80514,                0.86976,                0.66111,                0.36669,                0.75292,                0.67564,                0.82536,             0.00029723,             0.00029723,             0.00029723
                     83,                0.35178,                0.49723,                0.42337,                 0.8097,                0.83829,                0.86921,                0.90615,                0.83552,                0.82508,                0.85763,                0.89311,                0.68233,                0.35533,                0.76308,                 0.6069,                0.82188,             0.00028308,             0.00028308,             0.00028308
                     84,                0.35348,                0.54059,                0.41574,                0.80506,                0.85857,                0.91521,                 0.9196,                0.85854,                0.84606,                0.90341,                0.91505,                0.69821,                0.36464,                0.74583,                0.52104,                0.82427,             0.00026894,             0.00026894,             0.00026894
                     85,                0.36149,                0.50498,                0.45827,                0.81373,                0.86858,                0.88786,                0.92361,                0.85803,                0.85576,                0.87617,                 0.9142,                0.68289,                0.35904,                0.78368,                0.54321,                0.82132,             0.00025479,             0.00025479,             0.00025479
                     86,                  0.354,                0.48535,                0.44219,                 0.8008,                0.82344,                0.85813,                0.91086,                0.84896,                0.82084,                0.84824,                0.90371,                0.67576,                0.34948,                0.79688,                0.63702,                0.81836,             0.00024064,             0.00024064,             0.00024064
                     87,                0.34531,                0.47435,                0.45801,                0.80569,                0.86393,                0.89253,                0.92677,                0.86072,                0.85942,                0.88224,                 0.9173,                0.69122,                0.36302,                0.79697,                 0.5372,                0.82212,              0.0002265,              0.0002265,              0.0002265
                     88,                0.36165,                0.51093,                0.42202,                0.80703,                0.90266,                0.88987,                0.93204,                0.87052,                0.89628,                0.88391,                0.92284,                0.69667,                  0.362,                0.85807,                0.51701,                0.82531,             0.00021235,             0.00021235,             0.00021235
                     89,                0.34625,                0.45807,                0.37914,                0.80752,                0.88537,                0.89121,                0.92706,                0.86565,                0.87919,                0.88547,                0.91935,                0.71913,                0.35385,                0.82663,                0.53118,                0.82217,              0.0001982,              0.0001982,              0.0001982
                     90,                0.36383,                0.50677,                 0.4049,                0.80214,                0.89414,                0.87235,                0.92439,                 0.8639,                0.88771,                 0.8664,                0.91638,                0.69268,                0.36121,                0.83762,                0.54194,                0.82327,             0.00018406,             0.00018406,             0.00018406
                     91,                0.37205,                0.56616,                0.42426,                0.81701,                0.89873,                0.84313,                0.92148,                0.84798,                0.89188,                0.83718,                0.91322,                0.67949,                0.38626,                0.73855,                0.57072,                0.82473,             0.00016991,             0.00016991,             0.00016991
                     92,                0.34624,                0.51032,                0.37732,                0.80528,                0.83287,                 0.8836,                0.91762,                0.83094,                0.85961,                 0.8385,                0.90917,                0.66057,                0.40152,                0.79383,                0.58363,                0.82442,             0.00015576,             0.00015576,             0.00015576
                     93,                0.35141,                0.50984,                0.37378,                0.81077,                 0.8483,                0.84752,                0.91537,                0.83531,                 0.8413,                0.84157,                0.90437,                0.65795,                0.39208,                0.82002,                0.59311,                0.82346,             0.00014161,             0.00014161,             0.00014161
                     94,                0.35297,                0.55327,                0.38848,                0.80225,                0.80975,                0.91059,                0.91265,                0.83582,                0.79708,                0.89868,                 0.9046,                0.66404,                0.37692,                0.78059,                0.59291,                0.82578,             0.00012747,             0.00012747,             0.00012747
                     95,                0.33883,                 0.4919,                0.37303,                0.80638,                0.83146,                0.86321,                0.91644,                0.84226,                0.82918,                0.85484,                0.90938,                0.67725,                0.37647,                0.75917,                0.56891,                0.82567,             0.00011332,             0.00011332,             0.00011332
                     96,                0.34731,                0.49294,                0.39692,                0.81692,                0.85399,                0.87982,                0.92657,                0.85374,                0.84667,                0.86553,                0.91973,                0.69125,                0.37515,                 0.7818,                0.54454,                0.82547,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.34847,                0.48893,                0.38088,                0.81864,                0.84974,                0.89028,                0.93184,                0.86237,                0.89338,                0.83985,                 0.9221,                0.68524,                0.37523,                0.77382,                0.52972,                0.82672,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 0.3464,                 0.5151,                0.38628,                0.82656,                 0.8437,                0.89072,                0.93529,                0.85962,                0.87327,                0.85651,                0.92547,                0.68466,                0.38017,                0.81606,                0.52058,                0.82623,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.33965,                0.49016,                0.35727,                0.81656,                0.84977,                0.87571,                0.93444,                0.85398,                0.89909,                0.82339,                0.92487,                0.68953,                  0.379,                0.81331,                0.51971,                0.82453,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.32477,                0.48952,                 0.3788,                0.79825,                 0.8388,                0.89075,                0.93341,                0.85658,                0.88397,                0.83205,                0.92373,                0.69344,                0.37221,                0.81282,                0.52507,                 0.8235,             4.2584e-05,             4.2584e-05,             4.2584e-05
