                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.61571,                0.73718,                  1.226,                 0.8555,                0.58344,                0.82295,                0.75215,                0.65424,                0.58648,                0.82865,                0.75459,                0.54732,                0.61211,                0.69873,                 1.5478,                0.83912,              0.0011036,              0.0011036,              0.0011036
                     26,                0.65486,                0.78306,                 1.0477,                0.88765,                0.71338,                0.87485,                0.83463,                 0.7371,                0.71644,                0.88152,                0.83862,                  0.606,                0.52827,                0.73369,                 1.1415,                0.83367,              0.0010895,              0.0010895,              0.0010895
                     27,                0.57506,                0.62353,                0.88128,                0.82801,                0.59221,                0.87875,                 0.8585,                 0.7431,                0.58927,                0.87209,                0.85899,                 0.6589,                0.56849,                0.78136,                 1.4605,                0.83335,              0.0010753,              0.0010753,              0.0010753
                     28,                0.59336,                0.79801,                0.99046,                0.83732,                0.83269,                0.85254,                0.89957,                0.77176,                0.83269,                0.85254,                0.89739,                0.63764,                0.57904,                0.78035,                0.84643,                0.84125,              0.0010612,              0.0010612,              0.0010612
                     29,                0.61651,                0.69824,                0.83248,                0.87209,                0.77827,                0.87545,                 0.9083,                0.79926,                0.77827,                0.87545,                0.90749,                 0.6747,                0.55318,                0.79536,                 0.9015,                0.83918,               0.001047,               0.001047,               0.001047
                     30,                 0.5469,                0.50662,                0.78344,                0.83971,                 0.5379,                  0.855,                0.88493,                0.75961,                 0.5379,                  0.855,                0.88319,                0.68409,                0.62261,                0.93505,                 1.2966,                0.84553,              0.0010329,              0.0010329,              0.0010329
                     31,                0.62785,                0.55367,                0.89873,                0.82757,                 0.8546,                0.91884,                0.94221,                0.80816,                 0.8546,                0.91884,                0.94459,                0.72732,                0.62398,                0.87572,                0.64157,                0.84609,              0.0010187,              0.0010187,              0.0010187
                     32,                0.64524,                0.54098,                0.91708,                0.86308,                0.78527,                0.74869,                  0.876,                 0.7769,                0.78527,                0.74869,                 0.8761,                0.65425,                0.53385,                0.86837,                 1.0585,                 0.8304,              0.0010046,              0.0010046,              0.0010046
                     33,                0.59561,                0.62764,                0.86371,                0.85516,                  0.603,                 0.7515,                0.77329,                0.69093,                  0.603,                 0.7515,                0.77291,                0.57139,                0.50782,                0.90009,                 1.3077,                 0.8305,             0.00099044,             0.00099044,             0.00099044
                     34,                0.56955,                0.52563,                0.78995,                0.85605,                0.33895,                  0.883,                0.37233,                0.33242,                0.33895,                  0.883,                0.37233,                0.28533,                0.49999,                0.86283,                 2.0772,                0.83192,             0.00097629,             0.00097629,             0.00097629
                     35,                 0.5332,                0.54375,                0.70926,                0.81997,                0.37553,                0.81697,                0.43258,                0.37777,                0.37553,                0.81697,                0.43223,                0.32976,                0.53996,                0.98295,                 5.2102,                0.83376,             0.00096215,             0.00096215,             0.00096215
                     36,                0.55811,                0.59851,                0.75736,                0.83927,                0.41017,                0.79536,                0.42716,                0.38074,                0.41017,                0.79536,                0.42666,                0.32951,                0.48888,                0.71156,                 3.8901,                0.82687,               0.000948,               0.000948,               0.000948
                     37,                 0.5625,                0.51281,                0.78504,                0.83773,                0.73729,                0.80624,                0.90673,                0.80171,                0.73729,                0.80624,                0.90739,                0.68955,                0.48532,                0.69624,                0.88816,                0.83111,             0.00093385,             0.00093385,             0.00093385
                     38,                0.56202,                0.61431,                  0.673,                0.82881,                0.81563,                 0.8409,                0.90133,                 0.7905,                0.81563,                 0.8409,                0.90376,                0.68616,                 0.4901,                 0.6447,                0.80191,                0.82648,              0.0009197,              0.0009197,              0.0009197
                     39,                 0.5381,                0.59564,                0.64119,                0.83882,                0.76281,                0.83633,                0.89411,                0.77589,                0.76281,                0.83633,                0.89582,                0.65624,                0.52186,                0.62328,                0.86475,                0.82802,             0.00090556,             0.00090556,             0.00090556
                     40,                0.54559,                0.60659,                0.66061,                0.83363,                0.80022,                0.78635,                0.89721,                0.80194,                0.80022,                0.78635,                  0.898,                0.64718,                0.45964,                0.64699,                  0.833,                0.82983,             0.00089141,             0.00089141,             0.00089141
                     41,                0.54703,                0.49033,                0.65217,                  0.829,                0.85137,                0.86727,                0.92012,                0.83364,                0.85137,                0.86727,                 0.9202,                0.66928,                0.44831,                0.62986,                0.66994,                0.83063,             0.00087726,             0.00087726,             0.00087726
                     42,                0.49906,                0.53124,                 0.6456,                0.83627,                0.84533,                0.87507,                0.91599,                 0.8176,                0.84533,                0.87507,                0.91722,                0.66714,                0.45427,                0.62486,                 0.6673,                0.82892,             0.00086312,             0.00086312,             0.00086312
                     43,                0.52875,                 0.5231,                0.61687,                0.82845,                0.88113,                0.89296,                0.92848,                  0.817,                0.88113,                0.89296,                0.93128,                0.65853,                0.48411,                0.63367,                0.56322,                0.83323,             0.00084897,             0.00084897,             0.00084897
                     44,                0.52977,                0.46527,                0.59266,                0.82391,                0.81965,                0.84644,                0.93293,                0.83192,                0.81965,                0.84644,                0.93308,                 0.6988,                0.47973,                0.68222,                0.62331,                0.83472,             0.00083482,             0.00083482,             0.00083482
                     45,                0.51456,                0.44673,                0.57728,                0.82597,                 0.8625,                0.89814,                0.94783,                0.84496,                 0.8625,                0.89814,                0.94938,                0.72229,                0.49698,                0.67035,                0.54639,                0.83773,             0.00082067,             0.00082067,             0.00082067
                     46,                0.51759,                0.52615,                0.64547,                0.83639,                0.90594,                 0.9021,                0.94882,                0.84741,                0.90594,                 0.9021,                 0.9542,                  0.704,                0.48196,                0.74183,                0.52897,                0.83415,             0.00080653,             0.00080653,             0.00080653
                     47,                0.50429,                0.53451,                 0.6119,                0.81384,                0.85017,                0.83689,                0.94114,                0.82995,                0.85017,                0.83689,                0.94543,                0.67682,                0.51117,                0.82503,                0.62918,                0.83316,             0.00079238,             0.00079238,             0.00079238
                     48,                0.49894,                0.52761,                0.61264,                0.83141,                0.84907,                0.80635,                0.93933,                0.84677,                0.84907,                0.80635,                0.94362,                  0.719,                  0.464,                0.67523,                 0.7153,                0.82748,             0.00077823,             0.00077823,             0.00077823
                     49,                0.50356,                0.49667,                0.61266,                0.82545,                0.68373,                 0.8544,                 0.9291,                0.83131,                0.68397,                0.85985,                0.93147,                0.72941,                0.45738,                0.62684,                0.99462,                0.82435,             0.00076409,             0.00076409,             0.00076409
                     50,                0.53512,                0.56517,                 0.6522,                0.83519,                 0.8757,                0.83495,                0.93726,                0.83203,                 0.8757,                0.83495,                0.94045,                0.72392,                0.46774,                0.64258,                0.71634,                0.82546,             0.00074994,             0.00074994,             0.00074994
                     51,                0.49297,                0.50259,                0.53326,                0.80902,                0.88702,                0.87505,                0.94764,                0.85121,                0.88702,                0.87505,                0.95199,                0.70092,                0.45164,                0.68579,                0.57682,                0.82496,             0.00073579,             0.00073579,             0.00073579
                     52,                0.50301,                0.53255,                0.52264,                 0.8069,                0.75476,                0.88461,                 0.9358,                0.84187,                0.75476,                0.88461,                0.93755,                0.68546,                0.45684,                0.71844,                0.75111,                0.82872,             0.00072164,             0.00072164,             0.00072164
                     53,                0.46848,                 0.4679,                0.51176,                0.80884,                0.78401,                0.86656,                0.94234,                0.84996,                0.78401,                0.86656,                0.94489,                0.70077,                0.43329,                0.68778,                0.67642,                0.82915,              0.0007075,              0.0007075,              0.0007075
                     54,                0.46788,                0.50801,                 0.5639,                0.82391,                0.78897,                0.80602,                0.92602,                0.84092,                0.78897,                0.80602,                0.92837,                0.68691,                 0.4141,                0.68151,                0.74916,                0.82625,             0.00069335,             0.00069335,             0.00069335
                     55,                0.47158,                 0.4839,                0.59609,                0.82513,                0.82181,                0.85777,                0.92931,                0.84997,                0.82181,                0.85777,                0.93175,                0.69561,                0.43882,                0.71294,                0.62115,                0.82646,              0.0006792,              0.0006792,              0.0006792
                     56,                0.49595,                0.53332,                0.59669,                0.81837,                0.69787,                0.82667,                 0.8815,                 0.8139,                0.69787,                0.82667,                0.88209,                0.64945,                  0.411,                0.70177,                0.96969,                0.82387,             0.00066506,             0.00066506,             0.00066506
                     57,                0.43144,                0.47048,                 0.4848,                0.80837,                0.63732,                0.80786,                0.81486,                0.74208,                0.63732,                0.80786,                0.81727,                 0.6182,                0.42276,                0.67048,                 1.5698,                0.82425,             0.00065091,             0.00065091,             0.00065091
                     58,                0.43548,                0.46647,                0.49561,                0.80402,                0.69055,                0.79602,                0.84536,                0.77813,                0.69055,                0.79602,                0.84768,                 0.6378,                0.44077,                 0.6932,                 1.2735,                  0.827,             0.00063676,             0.00063676,             0.00063676
                     59,                0.46572,                 0.5631,                 0.5148,                0.80226,                0.74554,                0.82148,                0.91299,                0.84204,                0.74554,                0.82148,                0.91123,                0.67728,                0.41923,                0.76544,                0.88256,                0.82529,             0.00062262,             0.00062262,             0.00062262
                     60,                0.48137,                0.51469,                0.56997,                0.81744,                0.84932,                0.80745,                0.90396,                0.81097,                0.84932,                0.80745,                  0.903,                0.64255,                0.43593,                0.94159,                0.79082,                0.82346,             0.00060847,             0.00060847,             0.00060847
                     61,                0.47255,                0.56533,                0.51599,                0.82193,                0.71784,                0.89087,                0.91769,                0.82826,                0.71784,                0.89087,                0.91678,                 0.6684,                0.42762,                0.81162,                0.81332,                0.82141,             0.00059432,             0.00059432,             0.00059432
                     62,                0.44808,                0.51097,                0.47924,                0.80515,                0.70674,                0.86007,                0.87181,                0.79408,                0.70674,                0.86007,                0.87105,                0.63921,                0.40961,                0.71387,                 1.0029,                0.81113,             0.00058017,             0.00058017,             0.00058017
                     63,                0.45386,                0.45504,                0.56093,                0.82496,                0.69783,                0.84673,                0.82944,                 0.7512,                0.69783,                0.84673,                0.82933,                0.60726,                0.42184,                0.69201,                 0.9982,                0.81329,             0.00056603,             0.00056603,             0.00056603
                     64,                0.44989,                0.48117,                0.47374,                0.79511,                0.86303,                0.71451,                0.90389,                0.82036,                0.86303,                0.71451,                0.90623,                0.67945,                0.44079,                0.75633,                0.80798,                0.82538,             0.00055188,             0.00055188,             0.00055188
                     65,                0.48749,                0.44747,                0.50852,                0.80205,                0.82141,                0.89225,                0.92388,                0.83595,                0.82141,                0.89225,                0.92355,                0.69582,                0.42494,                0.71304,                0.62066,                0.82507,             0.00053773,             0.00053773,             0.00053773
                     66,                0.47389,                0.49973,                0.51109,                0.82864,                0.92254,                0.88723,                0.93605,                0.85053,                0.92254,                0.88723,                0.93429,                0.69823,                0.41106,                0.72175,                0.55143,                0.82352,             0.00052359,             0.00052359,             0.00052359
                     67,                0.42565,                0.45714,                0.47842,                0.80591,                0.95475,                0.86677,                0.93722,                 0.8572,                0.95475,                0.86677,                0.93535,                0.69349,                0.38838,                0.73614,                0.54335,                0.82105,             0.00050944,             0.00050944,             0.00050944
                     68,                0.44417,                0.43771,                0.46297,                0.81047,                0.93159,                0.87996,                0.93828,                 0.8491,                0.93159,                0.87996,                0.93765,                 0.7027,                0.43831,                0.71036,                0.54115,                0.82477,             0.00049529,             0.00049529,             0.00049529
                     69,                0.43155,                 0.4381,                0.46917,                0.80326,                0.92922,                0.87662,                0.93256,                 0.8322,                0.92922,                0.87662,                0.93221,                0.70762,                0.44862,                0.70662,                0.56302,                0.82342,             0.00048114,             0.00048114,             0.00048114
                     70,                0.44392,                0.40571,                0.45707,                0.81186,                0.90854,                0.88966,                0.92497,                 0.8311,                0.90854,                0.88966,                 0.9239,                0.70085,                0.42511,                0.69861,                0.58117,                0.81891,               0.000467,               0.000467,               0.000467
                     71,                 0.4274,                0.50573,                0.51445,                0.80163,                0.91446,                 0.8801,                0.93237,                0.85406,                0.91446,                 0.8801,                0.93138,                0.71213,                0.40459,                0.64931,                0.57652,                 0.8189,             0.00045285,             0.00045285,             0.00045285
                     72,                 0.4414,                 0.5688,                0.45177,                0.80313,                0.90214,                0.89073,                0.93998,                0.86009,                0.90214,                0.89073,                0.93859,                0.71501,                0.41298,                0.64847,                0.55004,                0.82042,              0.0004387,              0.0004387,              0.0004387
                     73,                0.40305,                 0.4844,                0.46716,                0.81191,                0.91611,                0.88135,                0.93934,                0.85511,                0.91611,                0.88135,                0.94022,                0.70631,                0.43272,                0.66841,                0.55415,                0.82205,             0.00042456,             0.00042456,             0.00042456
                     74,                0.43479,                0.45031,                0.45194,                0.82101,                0.90989,                0.87928,                0.94069,                0.85505,                0.90989,                0.87928,                0.94267,                0.70394,                0.41952,                0.68789,                0.54244,                0.82005,             0.00041041,             0.00041041,             0.00041041
                     75,                0.38842,                0.38629,                 0.3796,                0.78984,                 0.8923,                0.87707,                0.93995,                0.87132,                 0.8923,                0.87707,                0.94044,                0.70398,                0.38618,                0.68492,                0.55153,                0.81763,             0.00039626,             0.00039626,             0.00039626
                     76,                0.40444,                0.43594,                0.42015,                0.80907,                0.89617,                0.85781,                0.93734,                0.86874,                0.89617,                0.85781,                0.93749,                0.71476,                 0.3864,                0.68555,                0.57183,                0.81744,             0.00038211,             0.00038211,             0.00038211
                     77,                 0.3789,                0.42131,                0.39383,                0.80245,                0.88815,                0.89682,                0.94127,                0.86999,                0.88815,                0.89682,                0.94253,                0.72491,                0.37931,                 0.6688,                0.52111,                0.81734,             0.00036797,             0.00036797,             0.00036797
                     78,                0.40011,                0.45364,                0.40021,                0.80795,                0.89007,                0.90316,                0.94091,                0.86598,                0.89007,                0.90316,                0.94235,                0.72818,                0.39463,                0.66745,                 0.5032,                0.81964,             0.00035382,             0.00035382,             0.00035382
                     79,                0.40458,                 0.4166,                0.41945,                0.81625,                0.87297,                0.90827,                0.94021,                0.86939,                0.87297,                0.90827,                0.94195,                0.72988,                0.40758,                0.68084,                0.51227,                0.82173,             0.00033967,             0.00033967,             0.00033967
                     80,                0.39561,                0.42494,                0.40838,                0.79878,                0.89777,                0.88329,                0.93268,                0.87368,                0.89777,                0.88329,                0.93676,                0.70396,                0.39288,                0.75027,                0.52312,                0.82375,             0.00032553,             0.00032553,             0.00032553
                     81,                0.40997,                0.44828,                0.41138,                0.81361,                0.88293,                0.90217,                 0.9265,                0.86293,                0.88293,                0.90217,                0.93078,                0.70223,                0.37314,                0.76527,                0.54861,                0.81881,             0.00031138,             0.00031138,             0.00031138
                     82,                0.38503,                0.39542,                0.37914,                0.78534,                0.89156,                0.89672,                0.92133,                   0.86,                0.89156,                0.89672,                0.92591,                0.70563,                0.36335,                0.77006,                0.55293,                0.81688,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.4046,                0.43024,                0.42385,                0.80454,                0.88186,                0.90285,                0.92177,                  0.855,                0.88186,                0.90285,                0.92625,                0.71932,                0.35824,                0.75001,                0.54502,                 0.8148,             0.00028308,             0.00028308,             0.00028308
                     84,                0.38978,                 0.4027,                0.38424,                0.79215,                0.90495,                0.90364,                0.93523,                0.86109,                0.90495,                0.90364,                0.93734,                0.71553,                0.37456,                0.75152,                0.50708,                0.81913,             0.00026894,             0.00026894,             0.00026894
                     85,                0.38325,                0.45721,                0.39188,                0.79287,                  0.909,                0.90049,                0.93492,                0.85998,                  0.909,                0.90049,                0.93683,                 0.7219,                0.38174,                0.78938,                0.51109,                0.82022,             0.00025479,             0.00025479,             0.00025479
                     86,                0.35304,                0.37193,                0.35906,                0.80599,                0.88786,                0.91961,                 0.9292,                 0.8518,                0.88786,                0.91961,                0.93098,                0.71451,                0.39052,                0.80575,                0.52913,                0.82098,             0.00024064,             0.00024064,             0.00024064
                     87,                0.35705,                0.38378,                0.36263,                0.79137,                 0.9053,                0.90477,                0.92554,                 0.8501,                 0.9053,                0.90477,                0.93007,                 0.7127,                0.39396,                0.86851,                0.53774,                0.82145,              0.0002265,              0.0002265,              0.0002265
                     88,                0.36311,                0.45807,                0.35656,                0.78806,                0.89963,                0.81056,                0.91964,                0.84692,                0.89963,                0.81056,                0.92321,                0.70973,                0.38467,                 0.8891,                0.64008,                0.81878,             0.00021235,             0.00021235,             0.00021235
                     89,                0.37278,                0.47981,                0.35934,                0.79685,                0.83963,                0.76191,                0.91388,                0.84239,                0.83963,                0.76191,                0.91553,                0.69834,                0.38009,                0.77969,                0.75859,                0.81454,              0.0001982,              0.0001982,              0.0001982
